,0,1,2
38,"Apr 17, 2018 ", bitcoin's sudden drop snaps seven straight days of crypto gains ,0.296
39,"Apr 17, 2018 ", how to make sense of cryptocurrency valuations ,0.0
40,"Apr 17, 2018 ", $800 million crypto fund sees a revolution in finance: masters ,0.0
41,"Apr 17, 2018 ", $800 million crypto fund sees a revolution in finance: masters ,0.0
42,"Apr 17, 2018 ", barclays may be banking on bitcoin ,0.0
43,"Apr 16, 2018 ", barclays is sounding out clients about trading crypto ,0.0
44,"Apr 15, 2018 ", samsung jumps on the blockchain bandwagon ,0.0
45,"Apr 15, 2018 ", investing in bitcoin? know this before filing your taxes ,0.0
46,"Apr 13, 2018 ", bitcoin's best week of the year is helping to ease plunge pain ,0.6808
47,"Apr 13, 2018 ", becoming a ‘permian-bitcoin’ billionaire may be just a dream ,0.25
48,"Apr 13, 2018 ", bitcoin buyers have to take a wild guess on their taxes ,0.0
49,"Apr 13, 2018 ", $3 million bitcoin heist reported by india's coinsecure ,0.0
50,"Apr 13, 2018 ", bitcoin has another quick spike as weekly rally surpasses 20% ,0.0
51,"Apr 12, 2018 ", crypto hedge fund says bitcoin has bottomed out ,0.0
52,"Apr 12, 2018 "," once-surging crypto stocks face delisting, end of era ",0.0
53,"Apr 12, 2018 ", bitcoin surges most since december after breaching key levels ,0.0
54,"Apr 12, 2018 ", the cryptocurrency debate ,0.0
55,"Apr 12, 2018 ", bitcoin buyers have to take a wild guess on their taxes ,0.0
56,"Apr 11, 2018 ", digitalx launches cryptocurrency investment fund ,0.0
57,"Apr 11, 2018 ", jpmorgan sued over cash advance fees for cryptocurrency purchases ,0.0
58,"Apr 11, 2018 ", bitcoin purists appear to saying goodbye to ‘hodl’ life ,0.0
59,"Apr 11, 2018 ", bitcoin evangelist turned foe says he still owns cryptocurrency ,-0.4404
60,"Apr 11, 2018 ", bitcoin's future in the global financial system ,0.0
61,"Apr 11, 2018 ", why bitcoin behaves like an infectious disease ,0.3612
62,"Apr 10, 2018 ", roger ver says he still owns some bitcoin core ,0.0
63,"Apr 10, 2018 ", bitcoin was prone to bubbles until bears could bet against it ,0.0
64,"Apr 10, 2018 ", the @bitcoin account is back from suspension and tweeting against bitcoin ,0.0
65,"Apr 10, 2018 ", the world is cracking down on bitcoin—except japan ,0.0
66,"Apr 10, 2018 ", youtube and facebook are losing creators to blockchain-powered rivals ,-0.3818
67,"Apr 10, 2018 ", barclays says bitcoin behaves like the flu ,-0.0258
68,"Apr 10, 2018 "," while the world cracks down, japan emerges as a crypto haven ",0.0
69,"Apr 9, 2018 ", the world is cracking down on bitcoin—except japan ,0.0
70,"Apr 9, 2018 "," bitcoin, the biggest bubble in history, is popping ",0.0
71,"Apr 9, 2018 ", mike novogratz makes goldman vp the coo of his crypto company ,0.0
72,"Apr 9, 2018 ", the @bitcoin twitter account is at the heart of bitcoin's big schism ,0.0
73,"Apr 9, 2018 ", winklevosses' gemini to offer cryptocurrency block trading ,-0.4404
74,"Apr 9, 2018 ", ice's chief says crypto trading is a ‘trend we can't ignore’ ,0.0
75,"Apr 9, 2018 ", how blockchain is threatening to kill the traditional utility ,-0.8442
76,"Apr 9, 2018 "," yes, these chickens are on the blockchain ",0.4019
77,"Apr 6, 2018 ", credit suisse banker known for preaching crypto is leaving ,0.3818
78,"Apr 6, 2018 ", george soros preparing to trade cryptocurrencies ,0.0
79,"Apr 6, 2018 ", george soros prepares to trade cryptocurrencies ,0.0
80,"Apr 5, 2018 ", coinbase launching venture arm to invest in crypto startups ,0.0
81,"Apr 5, 2018 ", former mt. gox ceo is no longer a bitcoin believer ,-0.296
82,"Apr 5, 2018 "," snb sees blockchain scope for payments, securities settlements ",0.296
83,"Apr 5, 2018 "," crypto selloff driven by $25 billion capital gain hit, tom lee says ",0.5267
84,"Apr 5, 2018 ", crypto-tracing software firm expands to cover more currencies ,0.1027
85,"Apr 5, 2018 "," india considers its own digital currency, even as it cracks down on crypto ",0.0
86,"Apr 5, 2018 ", south korean crypto exchange executives detained in fraud probe ,-0.7579
87,"Apr 4, 2018 ", ripple has tried to buy its way onto major exchanges for cryptocurrency ,0.0
88,"Apr 4, 2018 ", foxconn to manufacture blockchain phone from sirin labs ,0.0
89,"Apr 3, 2018 "," brainard says valuations elevated, bitcoin volatility ‘extreme’ ",0.0
90,"Apr 2, 2018 ", crypto hedge fund bubble deflates ,0.0
91,"Apr 2, 2018 ", japan's central bank wants you to be wary of cryptocurrencies ,0.0
92,"Apr 2, 2018 ", bitcoin network researchers see ‘substantial’ overvaluation ,0.0
93,"Apr 2, 2018 ", the crypto hedge-fund bubble is starting to deflate ,0.0
94,"Mar 29, 2018 ", almost half of fund allocators don't know what to make of crypto ,0.0
95,"Mar 29, 2018 ", the ancient history of bitcoin ,0.0
96,"Mar 29, 2018 ", campaign donations made in bitcoin raising fraud concerns: ross ,-0.5859
97,"Mar 29, 2018 "," bitcoin sinks past $7,500 ",0.0
98,"Mar 29, 2018 "," bitcoin sinks past $7,500 in downbeat end to dismal quarter ",-0.6124
99,"Mar 28, 2018 ", bitcoin bull tom lee says hodl on during slumps for big gains ,0.34
100,"Mar 28, 2018 ", canadian pot and crypto stocks are among promoters flagged by otc ,0.0
101,"Mar 28, 2018 ", reddit disables bitcoin payments ,0.0
102,"Mar 28, 2018 ", how a billionaire crypto king built the no. 1 exchange in just 8 months ,-0.296
103,"Mar 28, 2018 ", ‘cryptodad’ regulator catches some twitter heat ,0.0
104,"Mar 27, 2018 ", fed's bostic has a message on cryptocurrencies: ‘don't do it’ ,0.0
105,"Mar 27, 2018 ", bitcoin's a pretty good guide to animal spirits in stocks ,0.7269
106,"Mar 26, 2018 "," bitcoin hovers near $8,000 level as investors weigh twitter ban ",-0.5574
107,"Mar 26, 2018 "," sell bitcoin, buy gold? ",0.0
108,"Mar 26, 2018 ", why cboe thinks bitcoin-based products should be fair game ,0.3182
109,"Mar 26, 2018 ", crypto exchange coinbase adds support for ethereum-based tokens ,0.4019
110,"Mar 26, 2018 ", solid gold casts of nelson mandela’s hands sell for $10 million in bitcoin ,0.1531
111,"Mar 26, 2018 "," twitter joins facebook, google in banning crypto coin sale ads ",0.0
112,"Mar 26, 2018 "," bitcoin approaches $8,000 level as march slump accelerates ",0.0
113,"Mar 26, 2018 ", venture capital surges into crypto startups ,0.0
114,"Mar 26, 2018 ", goldman-backed cryptocurrency startup says it's profitable ,0.4404
115,"Mar 26, 2018 ", this new blockchain platform aims to give gold a digital edge ,0.0
116,"Mar 26, 2018 ", what the world’s governments are saying about cryptocurrencies ,0.0
117,"Mar 23, 2018 ", sweden is becoming a haven for cryptojackers ,0.0
118,"Mar 23, 2018 ", telegram on track to push its cryptocurrency sale to $1.7 billion ,0.0
119,"Mar 23, 2018 ", this startup is using blockchain to fight art forgers ,-0.3818
120,"Mar 22, 2018 ", ex-googler wants to upend pigs and hotels with the blockchain ,0.0
121,"Mar 22, 2018 ", top regulator worries that crypto markets could be full of manipulation ,-0.4939
122,"Mar 22, 2018 ", u.s. plans to cut funding for bitcoin futures watchdog ,-0.2732
123,"Mar 22, 2018 ", bitcoin falls on fears of regulatory trouble for big crypto exchange ,-0.6705
124,"Mar 22, 2018 ", one of the world’s biggest crypto exchanges is facing regulatory trouble ,-0.4019
125,"Mar 22, 2018 ", is your blockchain business doomed? ,-0.6369
126,"Mar 21, 2018 ", g-20 sparks optimism for bitcoin growth ,0.7269
127,"Mar 21, 2018 ", google is working on its own blockchain-related technology ,0.0
128,"Mar 21, 2018 ", blockchain growing pains show there's no ledger to rule them all ,-0.5106
129,"Mar 21, 2018 ", eddie murphy-inspired fintech firm signs with winklevoss crypto exchange ,0.0
130,"Mar 21, 2018 "," crypto craze sees singapore firm tap michael owen, manny pacquiao for tokens ",-0.1531
131,"Mar 20, 2018 "," cryptokitties raises $12 million from andreessen, union square ",0.0
132,"Mar 20, 2018 ", bitcoin spikes after g-20 expresses no desire for crypto oversight ,0.128
133,"Mar 20, 2018 ", the world’s finance chiefs are fretting about cryptocurrencies ,0.0
134,"Mar 20, 2018 ", bitcoin bull tom lee says alt-coin bear market is largely over ,0.0
135,"Mar 20, 2018 ", wall street bitcoin pioneer quits wedbush for blockchain startup ,0.0
136,"Mar 20, 2018 "," when is a bitcoin not a bitcoin? when it's an asset, says g-20 ",0.3612
137,"Mar 19, 2018 ", making sense of the world's cryptocurrency rules ,0.0
138,"Mar 19, 2018 "," bitcoin bust reminds morgan stanley of nasdaq crash, but faster ",-0.2144
139,"Mar 19, 2018 ", blockchain enters opaque territory with first structured note ,0.0
140,"Mar 19, 2018 ", bitcoin rises from six-week low as g-20 weighs cryptocurrencies ,-0.2732
141,"Mar 18, 2018 ", on the g-20 agenda: a shared desire to calm down crypto ,0.7506
142,"Mar 18, 2018 "," growth of crypto-assets may threaten financial system, fsb says ",0.0
143,"Mar 16, 2018 ", bitcoin mining banned for first time in upstate new york town ,-0.4588
144,"Mar 16, 2018 ", fewer americans hold cryptocurrencies than you probably think ,0.0
145,"Mar 16, 2018 ", bitcoin's 'death cross' looms as ominous investor signal ,-0.7845
146,"Mar 16, 2018 ", bitcoin heading for a tumble ,0.0
147,"Mar 15, 2018 "," bitcoin's ‘death cross’ looms as strategist eyes $2,800 level ",-0.1531
148,"Mar 15, 2018 ", want to mine bitcoin in new york? you'll have to pay a premium ,-0.0258
149,"Mar 15, 2018 "," peter thiel is bullish on bitcoin, the heartland and trump ",0.0
150,"Mar 15, 2018 ", technology meant to make bitcoin money again is now live ,0.0
151,"Mar 15, 2018 ", bitcoin bull tom lee sees more pain ahead before price recovery ,-0.5563
152,"Mar 15, 2018 ", hedge-fund billionaire alan howard's bitcoin bet is cautionary tale ,0.0
153,"Mar 15, 2018 ", bitcoin isn't an investment until buyers sweat the fees ,0.0
154,"Mar 15, 2018 ", goldman-backed circle is hiring 100 for global crypto expansion ,0.0
155,"Mar 14, 2018 ", the bitcoin fad is fading—for now ,0.2263
156,"Mar 14, 2018 ", john mcafee resurfaces with a bang as adviser to crypto startup ,0.0
157,"Mar 14, 2018 ", cboe signals big plans for trading cryptocurrency derivatives ,0.0
158,"Mar 14, 2018 ", billionaire alan howard makes a bet on cryptocurrencies ,0.0
159,"Mar 14, 2018 ", google ad ban leaves twitter jack dorsey with a crypto-challenge ,-0.5574
160,"Mar 14, 2018 ", crypto advocates push for regulatory guidance at congressional hearing ,0.0
161,"Mar 14, 2018 "," square's merchants are willing to accept bitcoin, survey says ",0.3818
162,"Mar 14, 2018 ", bitcoin blockchain demonstrates the value of anarchy ,0.34
163,"Mar 14, 2018 ", indonesian bitcoin investors set to outnumber stock participants ,0.0
164,"Mar 14, 2018 "," bitcoin is worthless, bubble may pop soon, allianz global says ",-0.4404
165,"Mar 14, 2018 ", bitcoin drops to month low after google bans crypto advertisements ,-0.2732
166,"Mar 13, 2018 ", bitcoin’s premium to gold looks set to get hit by fed hikes ,0.0
167,"Mar 13, 2018 ", winklevoss twins have a plan to police cryptocurrency trading ,0.0
168,"Mar 13, 2018 ", imf makes g-20 push to police `dark side' of crypto-currencies ,0.0
169,"Mar 13, 2018 ", what it takes to raise $2.6 billion selling crypto: quicktake ,0.0
170,"Mar 12, 2018 ", nymex veteran targets institutions with cryptocurrency exchange ,0.0
171,"Mar 12, 2018 ", crypto craze finds few fans at endowments. maybe not for long ,-0.1531
172,"Mar 12, 2018 "," crypto startup chases a cure for hacks, breakdowns and stolen funds ",-0.4939
173,"Mar 12, 2018 "," crypto exchange offers a $250,000 bounty for hacker tip-offs ",0.0
174,"Mar 12, 2018 ", gold-standard rules sought by billion-euro broker of bitcoins ,0.0
175,"Mar 9, 2018 ", bitcoin's rough week ,0.0
176,"Mar 9, 2018 ", bitcoin dealer plays cat and mouse with banks closing accounts ,0.25
177,"Mar 9, 2018 ", bitcoin is ridiculous. blockchain is dangerous: paul ford ,-0.6808
178,"Mar 9, 2018 ", bitcoin's bad week is getting worse as selloff deepens to 20% ,-0.765
179,"Mar 8, 2018 ", paypal ceo says cryptocurrencies are just an experiment for now ,0.0
180,"Mar 8, 2018 ", crypto miner bitfarms to invest $193 million in canadian centers ,0.0
181,"Mar 8, 2018 ", winklevoss twins say crypto exchange wants to offer more coins ,0.0
182,"Mar 8, 2018 ", bitcoin's latest rub is overhang ghost from mt. gox bankruptcy ,-0.3182
183,"Mar 8, 2018 ", bitcoin steadies after two days of losses ,-0.4019
184,"Mar 7, 2018 ", japan expands cryptocurrency crackdown after coincheck hack ,0.1027
185,"Mar 7, 2018 ", crypto marketplace binance says ‘all funds are safe’ as traders panic ,-0.5106
186,"Mar 7, 2018 ", bitcoin dives after sec says crypto platforms must be registered ,0.0
187,"Mar 7, 2018 ", twitter says it is implementing measures to prevent crypto scams ,-0.5719
188,"Mar 7, 2018 ", bitcoin’s tokyo whale sold $400 million and he’s not done yet ,0.0
189,"Mar 7, 2018 ", overstock.com’s ceo thinks crypto can replace wall street ,0.0
190,"Mar 7, 2018 ", ripple develops blockchain payments app with 61 japanese banks ,0.0
191,"Mar 7, 2018 ", 22-year-old behind $5 billion crypto is just getting started ,0.0
192,"Mar 6, 2018 ", switzerland’s crypto crush marred by $1 billion spat ,-0.1531
193,"Mar 6, 2018 ", coinbase offers index fund tracking cryptocurrencies on exchange ,0.0
194,"Mar 6, 2018 ", google searches for bitcoin drop to lowest since october ,-0.5719
195,"Mar 6, 2018 ", cryptominer hut 8 slumps on canada exchange trading debut ,0.0
196,"Mar 6, 2018 ", grayscale doubles offerings with four new cryptocurrency funds ,0.0
197,"Mar 6, 2018 ", fintech's bitcoin crutch: charts ,0.0
198,"Mar 5, 2018 ", bitcoin rises above 50-day average for first time since january ,0.0
199,"Mar 5, 2018 ", crypto exchanges are raking in billions of dollars ,0.0
200,"Mar 5, 2018 ", investors put $300 million in crypto energy investments ,0.2732
201,"Mar 5, 2018 ", u.s. marshals to auction bitcoins valued at around $25 million ,0.4404
202,"Mar 5, 2018 ", square surges after crypto confusion hits trading desks ,-0.296
203,"Mar 5, 2018 "," beware of bitcoin, austrian regulator tells banks amid clampdown ",0.0
204,"Mar 5, 2018 ", beware fintech startups trying to get you on to bitcoin ,0.0
205,"Mar 4, 2018 "," square, inc. to possibly facilitate bitcoin ",0.0
206,"Mar 2, 2018 ", quebec giving bitcoin miners hard time ,0.25
207,"Mar 2, 2018 ", quebec throws cold water on bitcoin miners seeking cheap power ,0.0
208,"Mar 2, 2018 ", latest crypto scam uses virtu's trading history to fool users ,-0.765
209,"Mar 2, 2018 ", from stingy mates to short memories: carney's best bitcoin bits ,0.3818
210,"Mar 2, 2018 ", boe’s carney calls for rules to end cryptocurrency anarchy ,0.0
211,"Mar 2, 2018 ", stolen coincheck cryptocurrency traced to canada: researcher ,-0.4939
212,"Mar 2, 2018 ", bitcoin's plunge in volume stirs questions about its popularity ,0.4767
213,"Mar 1, 2018 ", sec shouldn't ignore sketchy ipos in crypto crackdown ,0.2755
214,"Mar 1, 2018 ", this $1 trillion money manager just joined the crypto frenzy ,-0.3182
215,"Feb 28, 2018 "," bitcoin: cryptocurrency derivatives have slow, uneventful launch ",0.0
216,"Feb 28, 2018 ", cftc allows employees to invest in cryptocurrencies (audio) ,0.0
217,"Feb 28, 2018 ", bitcoin reaches major scaling milestone as users adopt upgrade ,0.2263
218,"Feb 28, 2018 ", jpmorgan joins bofa in quiet warning: crypto could disrupt banks ,-0.34
219,"Feb 28, 2018 ", startup codex brings blockchain to art with backing from pantera ,0.0258
220,"Feb 28, 2018 ", startup codex brings blockchain to art with backing from pantera ,0.0258
221,"Feb 28, 2018 ", bitcoin-futures regulator clears employees to trade crypto coins ,0.0772
222,"Feb 27, 2018 ", bitcoin can make messy divorces even messier ,-0.3612
223,"Feb 27, 2018 ", crypto craze has hydro-quebec ceo’s phone ‘ringing off the hook’ ,-0.1531
224,"Feb 27, 2018 ", the crypto-futures revolution is just starting ,0.0
225,"Feb 27, 2018 ", all the ways regulators plan to tame bitcoin ,0.0
226,"Feb 27, 2018 ", china to crack down on cryptocurrency trading loophole ,0.0
227,"Feb 27, 2018 ", websites that pay users with blockchain aim to disrupt facebook ,-0.1027
228,"Feb 27, 2018 ", crypto’s hottest hires aren’t millennials. they’re banking cops ,0.0
229,"Feb 27, 2018 ", blackrock's turnill sees ‘promising’ potential for blockchain ,0.0
230,"Feb 26, 2018 ", inside square's increasing ties to bitcoin ,0.0
231,"Feb 26, 2018 ", self-proclaimed bitcoin inventor accused of swindling $5 billion of cryptocurrency ,-0.6369
232,"Feb 26, 2018 ", 50 cent to feds: you won't get a bitcoin outta me; i have none ,0.0
233,"Feb 26, 2018 "," crypto legend who bought pizza with 10,000 bitcoin is back at it ",0.0
234,"Feb 26, 2018 "," bitcoin climbs back above $10,000 ",0.0
235,"Feb 26, 2018 ", goldman-backed circle agrees to buy crypto exchange poloniex ,0.2023
236,"Feb 26, 2018 ", bitcoin bitterness starts to make messy divorces even worse ,-0.8074
237,"Feb 25, 2018 ", big oil buyers ditch paper for blockchain to track tanker sales ,0.0
238,"Feb 23, 2018 "," austria eyes bitcoin rules based on gold, derivatives ",0.0
239,"Feb 22, 2018 ", venezuelans can’t buy maduro’s cryptocurrency with bolivars ,0.0
240,"Feb 22, 2018 ", robinhood opens cryptocurrency trading ,0.0
241,"Feb 22, 2018 "," when you come to a fork in the crypto, take it! fundstrat says ",0.0
242,"Feb 22, 2018 ", u.s. olympians turn to bitcoin to fund cost of competing ,0.0
243,"Feb 22, 2018 ", french watchdog clamps down on crypto trading ,0.0
244,"Feb 21, 2018 ", bitwise's hougan calls bitcoin multitrillion dollar opportunity ,0.4215
245,"Feb 21, 2018 ", the j-pop band wants to teach you about cryptocurrencies ,0.0
246,"Feb 21, 2018 ", u.k. starts cryptocurrency inquiry as lawmakers weigh regulation ,0.0
247,"Feb 21, 2018 "," long blockchain may have misled investors, nasdaq says in letter ",0.0
248,"Feb 21, 2018 ", bitcoin exchange operator charged with lying to sec about hack ,-0.6369
249,"Feb 21, 2018 ", bitcoin snaps five-day winning streak as volatility accelerates ,0.5267
250,"Feb 21, 2018 ", risky crypto bet blows up dennis gartman's retirement account ,-0.2023
251,"Feb 21, 2018 ", race for stable cryptos heats up as volatility and demand surge ,0.1779
252,"Feb 21, 2018 ", elliott's case for bitcoin is about the power of fiction ,0.0
253,"Feb 20, 2018 "," etf veteran goes crypto, predicting multitrillion-dollar market ",0.0
254,"Feb 20, 2018 "," 2,000 confiscated bitcoins create a storage puzzle in finland ",0.2732
255,"Feb 20, 2018 ", venezuela is jumping into the crypto craze ,-0.1531
256,"Feb 20, 2018 ", bitcoin rises as south korea talks ‘active’ support for trading ,0.4019
257,"Feb 20, 2018 ", cryptocurrency skeptics find an ally: hsbc's new boss john flint ,-0.1027
258,"Feb 20, 2018 ", commodities shipper seeks $150 million to start cryptocurrency ,0.0
259,"Feb 19, 2018 ", boe's carney says bitcoin failed as a currency ,-0.5106
260,"Feb 19, 2018 ", alvine capital says bitcoin symbolizes `speculative excess' in markets ,0.0
261,"Feb 19, 2018 "," bitcoin closes in on $11,000 threshold in fourth day of gains ",0.34
262,"Feb 16, 2018 "," long blockchain faces delisting again, despite name change ",0.0
263,"Feb 16, 2018 ", trading of three crypto-linked firms suspended by wary sec ,-0.4767
264,"Feb 16, 2018 ", riot blockchain tumbles after expose raises manipulation concern ,-0.7506
265,"Feb 16, 2018 ", banks replaced with blockchain at international food program ,0.0
266,"Feb 16, 2018 ", preparing a bitcoin inheritance ,0.0
267,"Feb 15, 2018 ", beating bitcoin requires alt-coin traders to mind correlations ,-0.4588
268,"Feb 15, 2018 ", brooklyn bitcoin mine causes static for t-mobile users ,0.0
269,"Feb 15, 2018 ", bitcoin uber-bull tom lee predicts a new record high for july ,0.0
270,"Feb 15, 2018 ", 10-day volatility of vix higher than 7 years of bitcoin: wilson ,0.0
271,"Feb 15, 2018 ", austrian bitcoin ‘scam’ triggers police search across europe ,0.0
272,"Feb 15, 2018 "," bitcoin hits $10,000 in accelerating recovery from plunge ",0.0
273,"Feb 15, 2018 "," move over, bitcoin. the vix has you beat for volatility ",0.0
274,"Feb 14, 2018 ", munger calls bitcoin a ‘noxious poison’ government should tackle ,0.0
275,"Feb 14, 2018 ", coinbase releases tool for merchants to accept cryptocurrencies ,0.3818
276,"Feb 14, 2018 ", next-generation crypto-ledgers take the block out of blockchain ,-0.4404
277,"Feb 14, 2018 "," bitcoin is back? cryptocurrency surges after breaching $9,000 ",0.0
278,"Feb 13, 2018 ", crypto trading ban downplayed by south korea after backlash ,-0.5574
279,"Feb 13, 2018 ", inside the current cryptocurrency landscape ,0.0
280,"Feb 13, 2018 "," no demand for crypto payments, jpmorgan's wepay says ",-0.4019
281,"Feb 13, 2018 ", bitcoin halts longest rally since december after 24% increase ,0.3182
282,"Feb 13, 2018 ", bitcoin industry grapples with age-old problem of inheritance ,-0.4019
283,"Feb 13, 2018 ", these crypto investors want revenge on the scammers who ripped them off ,-0.4767
284,"Feb 12, 2018 ", here's why bitcoin risks crashing to $900 ,-0.2732
285,"Feb 12, 2018 ", why governments might join the cryptocurrency craze ,0.1531
286,"Feb 12, 2018 ", dubai trader gets first middle east license in cryptocurrencies ,0.0
287,"Feb 12, 2018 ", bitcoin finds stable footing as regulatory fears subside ,-0.1531
288,"Feb 12, 2018 ", bitcoin risks crashing to $900 if dot-com mania is any guide ,-0.2732
289,"Feb 12, 2018 "," bitcoin's tumble was a warning for stock swoon, morgan stanley says ",-0.34
290,"Feb 12, 2018 ", bitcoin meets luge ,0.0
291,"Feb 12, 2018 "," bitcoin closes in on $9,000 as regulatory fears peter out ",-0.4215
292,"Feb 12, 2018 ", bitcoin chip battle brewing behind hut 8's canadian listing ,-0.3818
293,"Feb 11, 2018 ", bitcoin claws its way back from 4-month low ,-0.2732
294,"Feb 11, 2018 ", bitcoin finds a bottom as risk aversion grips global markets ,-0.6124
295,"Feb 11, 2018 ", the economy is full of crypto (and collective delusion) ,0.0
296,"Feb 10, 2018 ", bitcoin finds a bottom during equity market turmoil ,-0.3612
297,"Feb 9, 2018 ", crypto fanboys celebrate surprising new hero: a washington regulator ,0.8555
298,"Feb 9, 2018 ", cryptocurrency ads find ways around facebook’s ban ,-0.5574
299,"Feb 9, 2018 ", fed economists say bitcoin can't compete in world of trust ,0.5106
300,"Feb 9, 2018 ", regulators need to look hard at bitcoin: view ,-0.1027
301,"Feb 9, 2018 ", austrian bitpanda goes to london for crypto high rollers ,0.0
302,"Feb 8, 2018 ", crypto investors face tax of up to 55% in japan ,0.0
303,"Feb 8, 2018 ", bitcoin-focused brokerage app deals with volatility ,0.0
304,"Feb 8, 2018 ", sec takes a closer look at cryptocurrency regulation (audio) ,0.0
305,"Feb 8, 2018 ", irs cops are scouring crypto accounts to build tax evasion cases ,0.0
306,"Feb 8, 2018 ", investors increasingly willing to spread bet against bitcoin ,0.0
307,"Feb 8, 2018 "," criminals are ditching bitcoin for litecoin and dash, study says ",-0.5719
308,"Feb 8, 2018 ", energizing blockchain ,0.4588
309,"Feb 8, 2018 ", crypto cynics stand to profit the most ,0.3818
310,"Feb 8, 2018 ", regulators need to look hard at bitcoin ,-0.1027
311,"Feb 8, 2018 ", the crypto candidate for congress ,0.0
312,"Feb 8, 2018 ", brokerage app robinhood thinks bitcoin belongs in your retirement plan ,0.0
313,"Feb 8, 2018 "," cryptocurrency swings keep investors `in check,' full tilt says ",0.0
314,"Feb 8, 2018 ", crypto hedge fund opens to new cash as bitcoin bulls buy the dip ,0.0
315,"Feb 8, 2018 ", ecb wakes up to bitcoin as virtual world seen touching reality ,0.0
316,"Feb 8, 2018 ", ecb's mersch says his payment system is better than blockchain ,0.4404
317,"Feb 7, 2018 ", hedge fund veteran says crypto could mean default-free world ,0.0
318,"Feb 7, 2018 "," cryptocurrencies are like ponzi schemes, world bank chief says ",0.3612
319,"Feb 7, 2018 ", breaking down bitcoin's bounce back ,0.0
320,"Feb 7, 2018 "," the cable - markets, merkel & bitcoin ",0.0
321,"Feb 7, 2018 "," bitcoin on credit? for 20 percent of owners, that's a yes ",0.6486
322,"Feb 7, 2018 ", winklevoss twins say increased regulation is bullish for bitcoin ,0.2732
323,"Feb 7, 2018 "," winklevoss brothers on bitcoin price, cryptocurrency regulation ",0.0
324,"Feb 7, 2018 ", winklevoss brothers aren't worried about bitcoin's plunge ,0.2235
325,"Feb 7, 2018 ", big investors may be dragging bitcoin toward market correlation ,0.0
326,"Feb 7, 2018 ", losing interest in bitcoin ,0.1027
